"DateAddedToCart","Source","ASIN","ProductName","CartDomain","CartList","Quantity","OneClickBuyable","ToBeGiftWrapped","PrimeSubscription","Pantry","AddOn"
"2025-06-04T16:17:04.453Z","Retail","B0D7ZT5HN1","CHEBIO Cordless Vacuum Cleaner, Stick Vacuum with Powerful Suction, 45Mins Runtime Vacuum Cleaners for Home, Anti-tangle and 1.5L Dust Cup, 6 in 1 Lightweight Vacuum for Hardwood Floor Carpet Pet Hair [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-05-31T21:23:36.253Z","Retail","B0DDQ225TJ","BUSOKIP Wheat Straw 10 Inch Deep Plates, 26 OZ Bowls and 16 OZ Cups Bundle Set of 20, Lightweight & Unbreakable Dinner Plates Cereal Bowls Drinking Cups (Multicolor) [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-04-30T16:04:48.709Z","Retail","B07F6H5LG6","Product Information Not Available","Not Applicable","faulty","1","No","No","No","No","No"
"2025-04-30T16:01:18.766Z","Retail","B01ATNSKOU","Kettle Moraine Large 80 Oz Hummingbird Feeder w/ 10 Port Base [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-04-28T19:00:31.605Z","Retail","B000BUOSCU","Camco 20-Foot Camper/RV Sewer Hose | Designed to Work with Trailer Sewer Fittings, Threaded Fittings, and Slip Fittings | 3-Inch Diameter Opening (39611) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-04-21T19:35:47.711Z","Retail","B0DHGYRTMQ","Dart Board Wall Protectors,Extended Length Dartboard Wall Protector,Dartboard Surround,Black Dart Board Cork Wall Protector,Suitable for 18in Dart Board [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-04-18T00:57:04.255Z","Retail","B086KWFYWW","Berglander Flatware Set 40 Piece, Stainless Steel With Titanium Colorful Plated, Multicolor Flatware Set, Silverware, Rainbow Color Cutlery Set Service For 8 [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-04-18T00:56:42.988Z","Retail","B07F1SCW25","culterman Ultra-Sharp Stainless Steel Cutlery Set,Dinner Knives 6-Piece kitchen Serrated Best Steak Knife (Rainbow) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-04-18T00:56:32.891Z","Retail","B07CRRGYCR","Berglander Rainbow Silverware Serving Set 10 Pcs, Stainless Steel Titanium Plating Flatware Server Set, Salad Spoon Fork, Serving Spoons Forks, Butter Knife, Cake Server Fish Knives Forks [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-04-17T17:14:33.344Z","Retail","B0C2HZSDBR","Ultimate UV Protection Spray 32 Oz | UV Protector for Outdoor Surface Sun Protection | UV Ray Protectant for Vinyl, Rubber, Plastic, and More | Prevents Fading and Discoloration [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-04-13T17:37:33.762Z","Retail","B08X4Y8RTB","Bellemain Premium Steak Knives Set of 8, Kitchen Knife Sets with Steel Blades for Precise Cutting, Lightweight Steak Knife Set Stainless Steel & Durable, Serrated Steak Knives Dishwasher Safe [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-04-12T14:52:47.293Z","Retail","B0092FEZZ0","It's A 10 Miracle Deep Conditioner Plus Keratin for Unisex, 17.5 Ounce [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-04-03T14:52:22.884Z","Retail","B08ZF53WZM","Amazon Basic Care All Day Allergy, Cetirizine Hydrochloride Tablets, 10 mg, Antihistamine, 30 Count (Packaging may vary) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-30T14:38:29.959Z","Retail","B07G9P1Y19","Oceans 7 US Coast Guard Approved Life Jacket for Infant, Kids, Youth, – Type II & III Vest, Personal Flotation Device [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-30T14:20:38.128Z","Retail","B01MD27YLR","Sterilite 80 Qt Gasket Box, Stackable Storage Bin with Latching Lid and Tight Seal, Plastic Container to Organize Basement, Clear Base and Lid, 1-Pack [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-30T14:12:50.458Z","Retail","B09KL8MWP4","RAYWER Body Board Lightweight with EPS Core, HDPE Slick Bottom, Leash & Adjustable Wrist Rope, Great Surfing for Kids and Adults [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-22T17:02:51.398Z","Retail","B0B5B2YWG6","100% Compostable Paper Bowls 12 oz. [1000 Count] Heavy-Duty Soup Bowls - Natural Brown Color Unbleached Bagasse Bowls - Eco-Friendly Disposable Biodegradable Sugarcane - [Bulk Case 8/125 Pack] [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-21T19:06:51.565Z","Retail","B09XFLBGNX","Tommy Bahama Backpack Beach Chair 2 Pack (Sailfish and Palms), Aluminum, Multicolor [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-21T19:04:51.236Z","Retail","B0D6BPNYFD","Originsure 38""L Collapsible Wagon Cart Foldable, 460LB Weight Capacity 220L Heavy Duty Folding Beach Wagons with Big All-Terrain Wheels, Utility Carts for Groceries, Shopping, Camping, Sports - Black [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-20T22:32:42.713Z","Retail","B0B3C8XJS3","Smash Foods Blueberry Jam | Low-Calorie, No Sugar Added Keto Jam with Upcycled Fruit & Chia Seeds | Vegan, Paleo Superfood Fruit Spread (2 Jars) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-09T01:17:17.664Z","Retail","B00AU6J68Q","SABRE RED SABRE Protector Dog Pepper Spray & Belt Clip, Fast Flip Top Safety, 7 Bursts, 15-Foot (4.6-Meter) Range, Humane Dog Attack Deterrent, Max Strength Allowed By EPA for Self Defense, 1.8 fl oz [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-05T17:22:32.241Z","Retail","B0BSTK9F6Q","Smash Foods Jam | Classics Variety 4-Pack | Low-Calorie, No Sugar Added Keto Jam with Upcycled Fruit & Chia Seeds | Vegan, Paleo Superfood Spread [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-05T13:49:57.472Z","Retail","B07RN6TG1J","Finish Jet-Dry Dishwasher Rinse Aid, Compatible with Dishwasher Detergent, Prevents Spots & Residues, Dries, Shine & Protects, 32 oz, 300 washes [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-04T17:31:35.417Z","Retail","B09ZQY3G18","Upgraded 12 FT 0-30 PSI High Pressure Adjustable Propane Regulator with Gauge 0~60PSI Gas Flow Indicator, QCC1 x 3/8"" Female Flare Fitting with 3/8 Flare x 1/8 MNPT, Stainless Braided Propane Hose [Product name associated with ASIN]","Not Applicable","saved","2","Yes","No","No","No","No"
"2025-03-04T17:28:21.126Z","Retail","B07XTMTZZ3","Flame King YSNPBS Propane Cylinder Base Stabilizer, Fits 20lb, 30lb, and 40lb Tanks, Black [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-03-03T14:27:45.979Z","Retail","B01LOZDYAM","2xhome Set of 2 Patio Dining Chairs | Modern Stackable Outdoor Pool Side Chair | Weather Resistant Plastic for Yard, Porch, Balcony, Kitchen, Teal [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-02-25T04:57:49.947Z","Retail","B0DB459SLZ","Orimade Rustproof 3 Tier Floor Standing Shower Caddy Organizer, Plastic Metal Splicing Floor Shelf Rack Stands for Bathroom Kitchen,15.35 x 29.33 x 7.87’’, Black [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-02-25T04:49:48.532Z","Retail","B09KL45NHJ","RAYWER Body Board Lightweight with EPS Core, HDPE Slick Bottom, Leash & Adjustable Wrist Rope, Great Surfing for Kids and Adults [Product name associated with ASIN]","Not Applicable","saved","2","Yes","No","No","No","No"
"2025-02-25T04:47:31.816Z","Retail","B0B6GKGBV3","TZDTMEOS 2PCS Racks for chairs,12.4 inch Garage Hooks,Heavy Duty Hooks,Wall Mount Garage Hooks,Hanger for Garage Wall,Heavy Duty Storage Hangers,Organizer to Chairs,Power Tools,Garden Tools,max 120lb. [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-02-25T04:37:47.654Z","Retail","B0CR2VWBD8","Liliful 144 Pcs Flower Coloring Book Bulk for Adult Kids DIY Art Stress Relief Drawing Book with Patterns for Adults, Party Favors, Goodie Bag Filler and Holiday Gifts (Summer) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-02-25T04:09:37.187Z","Retail","B07P8815LF","Trail maker Wholesale Bright Wax Coloring Crayons in Bulk, 12 Pack (10 Crayons Per Box) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-02-25T04:05:12.358Z","Retail","B0C1BTTJM9","UUYYEO 50 Sets Hotel Vanity Kit Individually Wrapped Disposable Hotel Amenities Hotel Hospitality Supplies Cosmetic Cotton Pads Cotton Swabs Nail File [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-02-19T22:46:40.975Z","Retail","B000N22JX6","Lasko Oscillating Designer Ceramic Tower Space Heater for Home with Adjustable Thermostat, Timer and Remote Control, 16 Inches, 1500W, 6435 [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-02-18T15:31:35.562Z","Retail","B0D5V8584D","BHCHA 80 Quart Gasket Box Storage Bin w/Lid & Latches, Clear/Aqua Blue for Adult [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-02-02T02:04:12.953Z","Retail","B09BW21L8K","iMaylex Soft 100% Egyptian Cotton Zipper Closure Pillowcases, Cozy and Lightweight Pillow Case, Set of 2, Cyan, Standard, 20"" x 26"" [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-31T17:08:31.742Z","Retail","B0DCC5271T","LIFCOM Satin Sheets Queen Size Bed Set,Similar to Silk Sheets,4Pcs Luxury Satin Sheet Set with 15 Inches Deep Pocket (Queen, Light Blue) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-31T17:03:02.573Z","Retail","B096T6R8QC","Large Beach Towel Extra Soft 36 x 70 inch Hotel Pool, Resort and SPA Style 100% Cotton Solid Colors with Striped Border (Turquoise-Mint-Pink-Cobalt, 4 Pack) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-31T17:01:56.177Z","Retail","B0B588G1YH","Casa Platino Twin Sheet Set, Pre-Washed Ultra Soft & Breathable Bed Sheets Twin Size, Brushed Microfiber Twin Sheets, Fade Resistant, Sheets Twin Size Bed Set with Deep Pockets - Navy [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-01-31T17:00:30.613Z","Retail","B06XWZXN33","SONORO KATE Bed Sheet Set Super Soft Microfiber 1800 Thread Count Luxury Egyptian Sheets 16-Inch Deep Pocket Wrinkle and Hypoallergenic-4 Piece(Queen Lake Blue) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-29T17:03:14.305Z","Retail","B0CKYHBWM4","Ryscam 80W Bird Bath Heater for Outdoors in Winter, Thermostatic Controlled Auto Shut Off Birdbaths Deicer, Winter Water Heated De-icer for Livestock and Poultry in Farm and Yard (1PCS) [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-01-29T16:24:02.477Z","Retail","B0D727867X","2PCS Absolutely No Smoking or Vaping Sign Stickers，Self-Adhesive Waterproof Vinyl Anti-smoking Sticker for House，Home，Business，Windows（Black） [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-26T17:42:05.770Z","Retail","B0C66HQ8KG","HOMELUX THEORY 2pc Low Profile Under Bed Storage Containers, Thin Under Couch Storage Organizer with Bins & Lids, Underbed Storage Box Ideal for Seasonal Clothes, Blankets, Fabric & Shoes (Black) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-22T04:12:25.735Z","Retail","B00XKJKKGW","ViscoSoft 3 Inch Memory Foam Mattress Topper Queen - Select High Density Ventilated Mattress Pad - Premium Removable Rayon Cover [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-22T04:08:47.938Z","Retail","B08H5LN6MK","Panda Mattress Topper (Queen) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-20T17:33:13.793Z","Retail","B006M9NIDO","Gerber Gear Dime 12-in-1 Mini EDC Multitool - Needle Nose Pliers, Pocket Knife, Keychain, Bottle Opener - Gifts for Men, EDC Gear and Equipment - Black [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-18T21:15:45.006Z","Retail","B0DM96FLWG","ThermoMaven BBQ Bristle-Free Steam Grill Brush - Safe Grill Cleaning Accessories with Scraper for Charcoal/George Foreman/Weber/Gas/Outdoor Grill [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-18T20:06:29.230Z","Retail","B0CQVNB7N2","ZSHIFANG Soft Shag 3D Stereo Wave Moss Bedside Rug 20""×36"" Cute Navy Blue Runner Rug Non Slip Washable Bathroom Rugs Bath Mats for Bedroom Bathroom Hallway Home Decor Indoor Doormat Shower Mat [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-18T06:48:12.280Z","Retail","B072HPYRGS","George Foreman GFA0240RDCG Round Grill Cover, Gray [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-01-18T06:14:49.384Z","Retail","B07VC2HWD2","BEAUTURAL Steam Iron for Clothes with Precision Thermostat Dial, Ceramic Coated Soleplate, 3-Way Auto-Off, Self-Cleaning, Anti-Calcium, Anti-Drip Blue [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-18T06:13:37.280Z","Retail","B0BN9DYHYB","AXYLEX Artificial Flowers for Outdoors Fake Plants - 16 Bundles Faux Outside Greenery Boxwood No Fade Plastic Shrubs Fall Decor Farmhouse Home Garden (Blue) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-18T06:12:45.524Z","Retail","B0BMM8P2PT","Artificial Orchid Flowers White Faux Orchids with Ceramic Vase Vivid Fake Phalaenopsis Flower Arrangement Gorgeous Artificial Plants for Office Desk Wedding Party Exhibition Center & Home Table Decor [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-18T06:10:28.282Z","Retail","B0CW9BXVJ2","10 Bundles Artificial Faux Flowers for Outdoor,10Pcs Fake Flowers for Home Decor,Plastic Flowers Shrubs Lifelike Artificial Greenery Home Porch Stems Outside Decor(Mix) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-18T06:08:40.305Z","Retail","B0DC986JKY","FOREST PRINCE 42"" Artificial Boston Fern Large Bush Plants, 2 Bundles of Fake Ferns with 65 Fronds for Outdoors Home Decor [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-18T05:21:06.656Z","Retail","B091FH8H8W","NEWLAKE Cotton Bedspread Quilt Sets-Reversible Patchwork Coverlet Set,Blue Mysterious Bohemian Style, Queen Size [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-12T21:00:48.391Z","Retail","B0B5DMVHGF","2025 New 2-Pack Grabber Tool, 32"" Long Reacher Grabber Pickup Tool with Magnetic Tip, Trash Picker for Elderly Grab It Reaching Tool, Garbage Picker Upper, Litter Pick Up Grab [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-09T17:19:39.727Z","Retail","B0BZPVL1ZG","Kitchen Sink Splash Guard Faucet Mat -1 PC Super Absorbent Fast Drying Mat Sink Gadgets-Splash Guard Behind Faucet Drip Catcher for Kitchen, Bathroom,Sink Mat, Dish Drying Mat, Bathroom(15"" X 5.5"" ) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-08T22:11:27.694Z","Retail","B00GY790C2","Cambridge 634020FSTP12DS Fiesta 20-Piece Merengue Flatware Silverware Set, Service for 4, Stainless Steel/ABS, Includes Forks/Knives/Spoons, Multicolor [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-01-03T17:47:18.080Z","Retail","B07Y5PQXJ6","Flame King YSN201HZL 20-LB Steel Horizontal Propane Tank Cylinder for Fire Pits and Tables, Patio Heaters, Barbeques, RVs, and Truck Campers, White [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-01-03T17:43:58.142Z","Retail","B0D7LQ4RCQ","WADEO Propane Cylinder Refill Stand, Propane Refill Holder for 1LB Refillable Cylinders, Removable Refill Stand for 5-20lb Propane Tank, Portable for Outdoor Camping [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-03T17:30:20.469Z","Retail","B0C8XBKZYG","Downy Fabric Softener Liquid, April Fresh Scent, 140 fl oz, 190 Loads, HE Compatible, Downy Fabric Softener, Liquid Fabric Softener, Laundry [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-01-02T04:45:02.425Z","Retail","B07GX45QW1","Crest Complete Advanced Flavoridetoothpaste 5 Pack 8.2 Oz Net Wt 41 Oz,, () [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-01-02T04:32:17.733Z","Retail","B07CVWG5L8","Finish Quantum Dishwasher Pods, No Pre-Rinse Dishwasher Detergent Soap Removes 24HR Dried-On Stain and Grease, Leaving a Virtually Spotless Shine, 82 Count [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-19T06:32:05.181Z","Retail","B0BH6PYZ5D","ThermaCord 120v Heat Cable Controller, Weatherproof Outdoor Thermostat, Energy-Saving, Turns Heat Cable On and Off Automatically, UL-Certified, Industrial Grade, Fits Outdoor Outlets, 16” Long [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-09T21:28:00.100Z","Retail","B09BVLZWY3","HAUSHOF Large Grill Accessories Heavy Duty BBQ Set Gifts for Men/Women - Premium Stainless Steel Spatula, Fork & Tongs, Barbecue Utensils Tool Kit Gift for Grilling Lover Outdoor [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-09T21:26:51.720Z","Retail","B08CHD2496","TNTOR Grill Brush with Scraper, 18"" Adjustable Handle BBQ Grill Brush for Outdoor Grill, Extra Strong Grill Cleaner Accessories for Grill/Smoker/Gas/Charcoal Grill Cleaning-Gifts for Grill Wizard/Dad [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-09T21:19:25.973Z","Retail","B0C7YF3L3S","BlissBlush Coastal Blue Decorative Lumbar Pillow Cover 14x36 Boho Long Body Pillow for Bed Farmhouse Lumbar Throw Pillow for Couch Modern Accent Textured Throw Pillowcase [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-08T12:50:05.937Z","Retail","B001IZG8D4","Sweetener Packets, Sweet'N Low, Box Of 400 Packets [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-05T14:11:59.093Z","Retail","B0092FEZZ0","It's A 10 Miracle Deep Conditioner Plus Keratin for Unisex, 17.5 Ounce [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-05T05:52:28.559Z","Retail","B000FXWLA4","Coghlan's Multi-Spice Shaker – Compact and Portable Seasoning Container with Multiple Compartments for Camping, Hiking, Backpacking, and Outdoor Cooking – Durable, Lightweight, Travel-Ready [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2024-12-05T05:07:54.949Z","Retail","B07GCNDL91","McCafe Premium Roast Decaf, Keurig Single Serve K-Cup Pods, Medium Roast Coffee Pods, 84 Count [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-05T04:39:28.663Z","Retail","B00GLSF5AU","Folgers Colombian Medium Roast Coffee, 12 Keurig K-Cup Pods (Pack of 6) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-04T19:43:24.473Z","Retail","B0CHJZ3YC7","Hushee Shave Kit Bulk Travel Shaving Cream Disposable Twin Blade Razors and Cream Individually Wrapped Smooth Razor with Clear Cap Toiletries for Hotel Shelter Camping Travel Homeless (100 Pack) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-04T19:37:39.704Z","Retail","B087D3SML2","Amazon Basic Care - Extra Strength Acetaminophen Caplet 500 mg, 100 Count ( 50 pouches of 2 caplets ) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-04T19:37:09.509Z","Retail","B07GPLX3RY","Advil WL0151-50 Ibuprofen Pain Relief Tablet, 200mg, Standard, Blue/Red (Pack of 50) [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2024-12-04T19:36:51.195Z","Retail","B0964NVQ59","Aleve Pain Reliever & Fever Reducer Naproxen Sodium Caplets, Body and Arthritis Pain Reliever, Medicine for Adults and Children Ages 12 and Up, 60 Individual Pouches [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-04T19:36:26.589Z","Retail","B001GAOHIY","Motrin IB, Ibuprofen 200mg Tablets, NSAID Pain & Fever Reliever for Headache, Backache, Muscular Aches, Arthritis Pain Reliever, 50 Travel Packets of 2, 100 ct [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-12-04T19:35:50.059Z","Retail","B087D3H3WD","Amazon Basic Care Ibuprofen Tablets, 200 mg, Pain Reliever and Fever Reducer, For Headache, Muscular Aches, Arthritis, Backache and More, 100 Count (Pack of 1) [Product name associated with ASIN]","Not Applicable","saved","2","Yes","No","No","No","No"
"2024-12-04T19:34:48.237Z","Retail","B0BF636GJC","Pepto Bismol Chewables Dispenser - 32 Packs of 4 [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
